id,name,equipment_type,manufacturer,safety_surface_type,ada_accessible,street_number,street,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
155768913,Chadwick Playground,Swing 3 Bays,Playworld,SofSurfaces,t,,Oberlin St,Lincoln-Lemington-Belmar,9,12,42003561900,2,12,5,3-18,40.46518774,-79.89026996
1420223098,Chadwick Playground,Play Area 2 to 12,Playworld,SofSurfaces,f,7255,Gladefield St,Lincoln-Lemington-Belmar,9,12,42003561900,2,12,5,3-18,40.46517265,-79.89042919
607358832,Chadwick Playground,Play Area 2 to 5,Playworld,SofSurfaces,f,7239,Gladefield St,Lincoln-Lemington-Belmar,9,12,42003561900,2,12,5,3-18,40.46517432,-79.89057451
882642618,Esplen Playground,Swing 2 Bays,Playworld,Pour in Place,f,,Esplen Way,Esplen,2,20,42003562500,5,20,6,1-27,40.46067807,-80.05073246
258516633,Esplen Playground,Play Area 2 to 12,Playworld,Pour in Place,f,,Esplen Way,Esplen,2,20,42003562500,5,20,6,1-27,40.46075944,-80.05087456
1408642721,Four Mile Run Playground,Play Area 2 to 5,Burke,Pour in Place,f,305,Four Mile Run Rd,Greenfield,5,14,42003151600,3,14,4,2-12,40.42795797,-79.94851377
1634867838,Four Mile Run Playground,Swing 2 Bays,Burke,Pour in Place,t,,I-376 E,Greenfield,5,14,42003151600,3,14,4,2-12,40.42800238,-79.94834758
2113051415,Four Mile Run Playground,Play Area 2 to 12,Burke,Pour in Place,f,305,Four Mile Run Rd,Greenfield,5,14,42003151600,3,14,4,2-12,40.42784366,-79.94847456
1798758589,Granville Playground,Swing 2 Bays,Little Tykes,Pour in Place,t,15,Granville St,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.44445201,-79.98307563
390955760,Ammon Playground,Swing 3 Bays,Playworld,Tiles,t,2217,Bedford Ave,Bedford Dwellings,6,5,42003050900,3,5,2,2-5,40.44897281,-79.97802318
1563586430,Granville Playground,Play Area 2 to 12,Little Tykes,Pour in Place,f,1846,Enoch St,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.4445935,-79.98304915
837839427,Jefferson Playground,Swing 1 Bay,Little Tykes,Pour in Place,f,,Ehlers Way,Central Northside,6,25,42003250300,1,25,1,1-21,40.4593707,-80.01459145
744109908,Jefferson Playground,Play Area 2 to 12,Little Tykes,Pour in Place,f,,Ehlers Way,Central Northside,6,25,42003250300,1,25,1,1-21,40.45916747,-80.01459145
1951469001,Jefferson Playground,Play Area 2 to 5,Little Tykes,Pour in Place,f,,Ehlers Way,Central Northside,6,25,42003250300,1,25,1,1-21,40.45933456,-80.01469213
837114763,Marshall-California Playground,Play Area 2 to 5,Iron Mountain Forge,Tiles,f,,Atmore St,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,40.46251969,-80.03044879
1007091395,Marshall-California Playground,Play Area 2 to 12,Iron Mountain Forge,Tiles,f,,Atmore St,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,40.46259204,-80.0304683
316622525,McKinley Bausman Playground,Swing 4 Bays,Playworld,SofSurfaces,t,623,Bausman St,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.413045,-79.99812146
421568793,McKinley Bausman Playground,Play Area 2 to 12,Playworld,SofSurfaces,f,623,Bausman St,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41297921,-79.99802815
